1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.148596	0.000000	1974.127238	0.005367	15501.5
1	-0.035202	0.011885	1973.010581	0.002740	9.8
2	-0.293070	0.023771	1971.895187	0.028036	9.5
3	-0.105554	0.035656	1970.781053	0.004027	9.4
4	-0.072019	0.047541	1969.668177	0.002985	11.6
5	-0.089283	0.059426	1968.556557	0.004181	10.7
6	-0.159473	0.071312	1967.446192	0.005031	12.9
7	-0.142867	0.083197	1966.337078	0.004679	11.1
8	-0.049455	0.095082	1965.229214	0.003118	11.7
9	-0.156544	0.106968	1964.122598	0.004633	10.9
10	-0.059025	0.118853	1963.017227	0.003825	9.9
11	-0.123176	0.130738	1961.913100	0.005698	7.9
12	-0.143001	0.142623	1960.810214	0.009538	9.0
13	-0.042897	0.154509	1959.708568	0.002534	9.8
14	-0.076339	0.166394	1958.608158	0.003342	9.5
15	-0.089168	0.178279	1957.508984	0.003665	10.3
16	-0.194925	0.190165	1956.411043	0.009376	9.3
17	-0.261179	0.202050	1955.314332	0.008894	8.5
18	-0.302914	0.213935	1954.218851	0.016112	9.9
19	-0.131499	0.225820	1953.124596	0.004675	10.0
20	-0.133943	0.237706	1952.031567	0.007006	10.8
21	-0.037058	0.249591	1950.939759	0.002508	11.4
22	-0.168419	0.261476	1949.849173	0.005625	17.4
23	-0.112422	0.273362	1948.759805	0.003902	17.1
24	-0.131667	0.285247	1947.671654	0.004254	14.6
25	-0.190676	0.297132	1946.584717	0.007190	13.6
26	-0.164615	0.309017	1945.498993	0.004619	11.6
27	-0.158675	0.320903	1944.414479	0.005545	11.9
28	-0.138715	0.332788	1943.331173	0.004682	11.7
29	-0.030912	0.344673	1942.249075	0.003105	10.9
30	-0.115668	0.356559	1941.168180	0.008126	9.5
31	-0.069113	0.368444	1940.088488	0.002637	8.9
32	-0.032939	0.380329	1939.009996	0.002327	9.4
33	-0.251315	0.392214	1937.932703	0.009364	8.4
34	-0.244395	0.404100	1936.856606	0.010951	7.9
35	-0.273865	0.415985	1935.781703	0.006414	7.9
