1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.200691	-0.200691	0.000000	0.000000	815.221654	0.002615	0.000000	0.002615	5.2	6.9	3493.0
1	-0.191743	-0.191776	0.000000	0.000000	815.221654	0.002185	0.000000	0.002160	5.2	6.5	12.4
2	-0.165720	-0.165814	0.000000	0.000000	815.221654	0.001181	0.000000	0.001148	5.0	6.5	12.4
3	-0.163049	-0.163177	0.000000	0.000000	815.221654	0.001707	0.000000	0.001660	5.1	7.8	13.6
4	-0.186416	-0.186615	0.000000	0.000000	815.221654	0.002795	0.000000	0.002725	5.3	7.2	13.2
5	-0.191584	-0.191971	0.000000	0.000000	815.221654	0.001896	0.000000	0.001813	5.0	7.8	13.5
6	-0.165124	-0.165636	0.000000	0.000000	815.221654	0.002000	0.000000	0.001901	5.3	8.2	14.2
7	-0.187135	-0.187806	0.000000	0.000000	815.221654	0.001518	0.000000	0.001630	5.4	7.4	13.6
8	-0.183289	-0.183812	0.000000	1.000000	778.166124	0.002153	0.000000	0.002089	5.1	7.8	13.7
9	-0.155614	-0.156259	0.000000	1.985954	744.787638	0.001446	0.000000	0.001331	5.0	7.9	13.7
10	-0.188575	-0.189327	0.000000	1.601075	757.470806	0.000816	0.000000	0.000833	5.3	7.7	13.7
11	-0.173567	-0.174290	0.000000	2.530292	727.558094	0.001247	0.000000	0.001152	5.1	7.2	13.0
12	-0.178652	-0.179457	0.000000	2.861624	717.455550	0.000949	0.000000	0.000870	5.2	7.5	13.5
13	-0.175938	-0.176780	0.000000	2.476750	729.217395	0.001331	0.000000	0.001227	5.3	6.9	13.0
14	-0.186311	-0.187245	0.000000	2.091872	741.371460	0.001536	0.000000	0.001540	5.3	7.5	13.6
15	-0.173303	-0.174235	0.000000	1.706995	753.937495	0.002090	0.000000	0.001948	6.0	8.9	15.7
16	-0.193043	-0.194166	0.000000	1.487032	761.312342	0.001819	0.000000	0.001663	7.0	9.7	17.6
17	-0.190866	-0.192191	0.000000	1.102153	774.569568	0.001595	0.000000	0.001628	6.3	8.7	15.8
18	-0.178159	-0.179437	0.000000	2.075855	741.886044	0.002459	0.000000	0.002316	6.2	9.6	16.6
19	-0.197590	-0.199133	0.000000	3.075855	711.071519	0.001631	0.000000	0.001477	6.1	9.0	15.9
20	-0.191423	-0.193101	0.000000	2.690976	722.623453	0.002535	0.000000	0.002352	6.5	9.3	16.8
21	-0.199722	-0.201717	0.000000	2.306097	734.556926	0.001699	0.000000	0.001583	7.0	9.7	17.6
22	-0.186159	-0.188255	0.000000	1.921218	746.891159	0.001436	0.000000	0.001288	7.4	8.9	17.2
23	-0.190192	-0.192405	0.000000	1.536338	759.646682	0.000669	0.000000	0.000631	6.4	8.5	15.7
24	-0.205378	-0.207573	0.000000	1.153510	772.773914	0.000865	0.000000	0.000849	5.8	9.0	15.9
25	-0.196890	-0.199068	0.000000	0.830779	784.198058	0.000659	0.000000	0.000677	6.2	8.5	15.5
26	-0.188846	-0.190988	0.000000	0.477358	797.102453	0.001081	0.000000	0.000957	6.0	8.7	15.4
27	-0.208328	-0.210530	0.000000	0.097835	811.441309	0.001722	0.000000	0.001631	6.4	8.6	15.8
28	-0.209468	-0.211762	0.000000	0.000000	815.221654	0.001548	0.000000	0.001354	5.8	8.5	15.1
29	-0.199914	-0.202383	0.000000	0.000000	815.221654	0.002332	0.000000	0.002104	6.8	9.5	17.1
30	-0.209745	-0.212622	0.000000	0.000000	815.221654	0.001453	0.000000	0.001437	7.0	10.0	18.0
