1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.122557	0.000000	0.904523	0.016611	371.3
1	-0.138542	0.000000	0.904523	0.013450	1.5
2	-0.126263	0.000000	0.904523	0.016243	1.5
3	-0.126471	0.000000	0.904523	0.013008	1.4
4	-0.140063	0.000000	0.904523	0.016993	2.4
5	-0.162692	0.000000	0.904523	0.020158	1.5
6	-0.129858	0.000000	0.904523	0.016357	1.4
7	-0.141110	0.996474	0.863547	0.013436	1.4
8	-0.127977	0.012018	0.904005	0.014990	1.4
9	-0.145855	0.960435	0.864964	0.009019	1.5
10	-0.158590	0.000000	0.904523	0.010851	1.4
11	-0.154676	0.000000	0.904523	0.012987	1.4
12	-0.132454	0.891115	0.867703	0.014256	1.5
13	-0.166177	0.000000	0.904523	0.014192	1.4
14	-0.139283	0.999466	0.863429	0.017501	1.5
15	-0.148597	0.015192	0.903869	0.023646	1.4
16	-0.136230	0.000000	0.904523	0.019525	1.4
17	-0.132140	1.000000	0.863408	0.013872	1.4
18	-0.140277	0.514995	0.882872	0.010941	1.4
19	-0.153464	0.000000	0.904523	0.015629	1.4
20	-0.139318	0.844042	0.869573	0.014672	1.5
21	-0.134289	1.800735	0.833086	0.018644	1.5
22	-0.157662	0.816184	0.870683	0.019773	1.4
23	-0.140711	0.000000	0.904523	0.017747	1.4
24	-0.156885	0.751114	0.873288	0.015196	1.4
25	-0.115133	0.000000	0.904523	0.014452	1.4
26	-0.141364	0.000000	0.904523	0.010659	1.4
27	-0.134471	0.000000	0.904523	0.008350	1.4
28	-0.160510	0.000000	0.904523	0.013767	1.5
29	-0.159038	0.991378	0.863747	0.013912	1.4
30	-0.152521	0.103147	0.900102	0.017111	1.3
31	-0.131030	0.000000	0.904523	0.005526	1.5
32	-0.143056	0.000000	0.904523	0.022212	1.5
33	-0.122740	0.475845	0.884481	0.020747	1.5
34	-0.150789	0.000000	0.904523	0.017334	2.0
35	-0.136857	0.000000	0.904523	0.020877	1.5
36	-0.141253	0.000000	0.904523	0.009447	1.8
37	-0.129049	0.000000	0.904523	0.019106	1.4
38	-0.127230	0.981169	0.864148	0.012213	1.4
39	-0.130336	1.853159	0.831175	0.017064	1.4
40	-0.140132	0.868609	0.868596	0.009772	1.5
41	-0.126672	1.661289	0.838213	0.026682	1.5
42	-0.130712	0.676738	0.876284	0.010996	1.4
43	-0.148386	0.000000	0.904523	0.015529	1.4
44	-0.147712	0.000000	0.904523	0.010106	1.5
45	-0.152244	0.000000	0.904523	0.015051	1.8
46	-0.145877	0.984617	0.864012	0.015295	1.6
47	-0.165384	1.982423	0.826500	0.016040	1.8
48	-0.131904	1.003389	0.863275	0.008934	2.0
49	-0.140249	1.898617	0.829525	0.014707	2.8
50	-0.143145	0.955477	0.865159	0.013273	1.6
51	-0.150279	0.000000	0.904523	0.010873	2.3
52	-0.133002	0.978810	0.864241	0.018470	2.2
53	-0.147867	0.000000	0.904523	0.016501	2.9
54	-0.143916	1.000000	0.863408	0.011270	1.6
55	-0.132438	0.016425	0.903816	0.011233	2.3
56	-0.162119	1.016194	0.862773	0.014537	1.7
57	-0.142371	0.428901	0.886419	0.010186	2.0
58	-0.148696	0.000000	0.904523	0.016707	2.4
59	-0.143971	0.999996	0.863408	0.020405	2.7
60	-0.139027	1.972884	0.826843	0.012650	2.1
61	-0.135659	0.990852	0.863767	0.012180	1.6
62	-0.142646	1.827876	0.832096	0.012025	2.6
63	-0.138068	0.843595	0.869590	0.017825	1.6
64	-0.144595	0.000000	0.904523	0.009605	1.4
65	-0.130973	0.910954	0.866917	0.015489	1.6
66	-0.139905	0.000000	0.904523	0.013048	2.1
67	-0.136674	0.957446	0.865081	0.019057	2.2
68	-0.121486	0.000000	0.904523	0.010925	1.8
69	-0.130293	0.000000	0.904523	0.016371	2.4
70	-0.159673	0.168260	0.897333	0.025545	2.0
71	-0.136711	0.000000	0.904523	0.014299	1.6
72	-0.155036	0.000000	0.904523	0.013185	2.6
73	-0.131735	0.000000	0.904523	0.011633	2.1
74	-0.134668	0.862565	0.868836	0.013994	2.4
75	-0.148818	0.000000	0.904523	0.010724	2.3
76	-0.113335	0.989404	0.863824	0.014978	1.8
77	-0.153938	1.989365	0.826251	0.019874	1.8
78	-0.132802	1.004814	0.863219	0.011274	1.8
79	-0.123934	0.020263	0.903651	0.016085	2.5
80	-0.166146	1.014507	0.862839	0.013179	2.0
81	-0.153057	1.997147	0.825971	0.022801	2.0
82	-0.134349	2.997146	0.791552	0.013894	2.6
83	-0.160211	2.012600	0.825416	0.014607	2.0
84	-0.138458	3.011968	0.791063	0.011044	1.9
85	-0.163027	2.027516	0.824882	0.010101	1.7
86	-0.142061	2.407129	0.811504	0.015893	2.7
87	-0.129562	1.423168	0.847114	0.011441	1.6
88	-0.137883	0.438624	0.886017	0.017140	1.5
89	-0.135484	1.333112	0.850530	0.014159	1.9
90	-0.140056	2.324479	0.814380	0.014182	1.5
91	-0.146583	1.349103	0.849921	0.013227	1.5
92	-0.151061	1.491383	0.844545	0.020523	1.5
93	-0.133968	2.477097	0.809086	0.015851	1.5
94	-0.119944	1.492819	0.844491	0.011598	1.5
95	-0.140524	1.263675	0.853183	0.008529	1.4
96	-0.164143	2.116565	0.821704	0.016383	1.5
97	-0.149902	1.132510	0.858239	0.012826	1.5
98	-0.140424	2.130610	0.821205	0.015831	1.5
99	-0.147024	3.130495	0.787177	0.012885	1.5
100	-0.127942	2.149257	0.820544	0.010475	1.6
101	-0.143406	2.892001	0.795035	0.015809	1.5
102	-0.152037	1.907450	0.829205	0.010199	1.5
103	-0.149628	2.884600	0.795281	0.018913	1.6
